高血圧の収縮期は140mmHg、拡張期は90mmHg以上である。,TRUE,そのとおり。[1-38]
鉄欠乏性貧血は、正球性正色素性貧血である。,FALSE,正球性正色素性貧血とは、赤血球の大きさ(MCV)とヘモグロビン濃度(MCHC)が正常範囲内の貧血である。溶血性貧血、再生不良性貧血などがこれにあたる。鉄欠乏性貧血はどちらの値も低下する。
溶血性貧血では、間接ビリルビン黄疸が見られる。,TRUE,溶血性貧血では赤血球の破壊が亢進するため、血中の間接ビリルビンが増加し、間接ビリルビン優位の黄疸を呈する。[1-9]
BMI = 体重kg / ( 身長m )² =35以上が肥満である。,FALSE,BMIは25以上が肥満である。
ヘモグロビンA1cとは、過去1～2か月間の平均血糖値を反映する指標であり、グリコアルブミン値は過去2週間の平均血糖値を反映する指標である。,TRUE,HbA1cは血糖とヘモグロビンが結合(分解しない)、グリコアルブミンは血糖とアルブミンが結合したものである。赤血球の寿命は120日、アルブミンの血中半減期は17日であり、HbA1cは過去1～2か月、グリコアルブミン値は過去2～3週間の血糖値を反映する。[8-5]
TCが260、TGが200、HDLが40のとき、LDL-Cは150である。,FALSE,(LDLコレステロール) = (総コレステロール) ー (HDLコレステロール) ー (トリグリセリド) × 0.2 = 260ー40ー200×0.2 = 180 mg/dL。LDL<120が基準値 [9-11]
GLP-1受容体作動薬セマグルチドは週に1回起床時に少量の水と服用することで血糖降下作用を得られる。,FALSE,1日1回、最初の食事または飲水の前に、空腹状態でコップ半分(約120mL以下)とともに1錠服用する。[8-49]
妊娠の可能性がある女性の高コレステロール血症の治療にはフィブラート系を用いる。,FALSE,フィブラート、スタチン、異化排泄薬(プロブコール)、MTP阻害薬(ロミタピド)は妊婦禁忌である。陰イオン交換樹脂(コレスチラミン)は妊婦にも安全である。[9-37]
SGLT2阻害薬は腎保護、心臓保護が期待できる。,TRUE,SGLT2阻害薬は糸球体内圧を低下させるため腎保護作用がある。心臓保護効果も報告されている。[14-31]
慢性腎臓病を伴う脂質異常症の脂質管理目標値はLDL<120、TG<150、HDL≧40である。,TRUE,慢性腎臓病がある場合は高リスクの管理区分となる。管理区分によって目標値は異なる。[9-23]
ベンズブロマロンは高尿酸血症の治療に用いられ、尿路結石の形成を防ぐために尿アルカリ化薬を併用する。,TRUE,ベンズブロマロンは尿酸排泄促進薬であり、URAT1を阻害して尿酸再吸収を抑制する。これにより尿が酸性化し、尿酸が尿路に析出しやすくなるため、尿アルカリ化薬を併用して尿路結石を防止する。[9-53]
H.pylori感染と胃がんや胃MALTリンパ腫発症との関係が報告されている。,TRUE,H.pyloriはウレアーゼ活性により尿素からアンモニアを生成する。また、サイトトキシンを産生し、炎症やがん化を促進する。除菌は、PPI、アモキシシリン、クラリスロマイシンを併用する。[10-12]
潰瘍性大腸炎は大腸粘膜や粘膜下層を侵す、原因不明の腸疾患で、難治性では治療が長期化するが、大腸がんとの関連は少ない。,FALSE,潰瘍性大腸炎は長期間罹患していると大腸がんのリスクが高まる。[10-44]
胃食道逆流症(GERD)は、胃食道逆流により胸やけなどを起こす疾患で、痩せた若者に多い。,FALSE,胃食道逆流症は、中高年や高齢者に多く見られる。若年者に多いのは炎症性腸疾患である。[10-25]
B型肝炎ワクチン接種後6か月でHBs抗原陰性、HBs抗体陽性であった場合、B型肝炎の慢性化を考慮して精密な検査を行うべきである。,FALSE,これはワクチンによる免疫獲得を意味する。B型肝炎の慢性化では、HBs抗原(+)、HBs抗体(ー)、HBc抗体(+)になる。[11-11]
中毒型の薬剤性肝障害は薬剤もしくは薬剤の代謝物が毒性を示し、症状は用量依存的に起こる。,TRUE,そのとおり。全ての薬剤で肝障害が起こる可能性がある。胆汁うっ滞の遷延の治療には、ステロイドやウルソデオキシコール酸を用いる。[11-38]
肥満や脂肪肝による胆のう胆石症の結石は尿酸結石が原因で、ウルソデオキシコール酸により治療する。,FALSE,尿路結石は関係ない。胆汁のうっ滞や胆道感染症による胆汁成分の濃縮、脂質代謝異常が原因でコレステロール結石や色素系結石が起こる。コレステロール結石の治療にはウルソデオキシコール酸を用いる。[11-39]
慢性膵炎による内分泌機能低下によって引き起こされる糖尿病にはSGLT2阻害薬が有効であることが多い。,FALSE,慢性膵炎による糖尿病は、膵臓のβ細胞破壊によるインスリン分泌不全が主因のため、インスリンを用いる。[11-48]
前立腺肥大症による尿路の狭窄や閉塞によって、腎後性急性腎不全を引き起こす。,TRUE,腎臓の血液量減少により腎前性急性腎不全、毛細血管や糸球体の細胞障害により腎性急性腎不全、尿路閉塞により腎後性急性腎不全が起こる。[12-10]
急性腎不全は、電解質調節異常による低カリウム血症や代謝性アシドーシスを起こす。,FALSE,腎臓のカリウム排泄能力が低下するため、高カリウム血症が起こる。他に、高リン血症(リン排泄能低下)、低カルシウム血症(高リン血症による活性型ビタミンD低下によって腸管のカルシウム吸収低下、リン酸カルシウムの形成)が起こる。[12-13]
慢性腎不全に伴う貧血は、血清鉄とエリスロポエチン低下によって起こる。,FALSE,腎性貧血の原因はエリスロポエチン低下である。血清鉄は正常だが、鉄代謝異常により利用可能な鉄が減少している場合もある。[12-17]
成人ネフローゼ症候群は、タンパク尿3.5g/day以上が持続し、さらに浮腫や高LDLコレステロール血症を伴う。,TRUE,成人ネフローゼ症候群はタンパク尿(3.5g/day以上)、低アルブミン血症(血清アルブミン値3.0g/dL以下)が診断必須条件である。他に浮腫や高LDLコレステロール血症を伴う。[13-3]
微小変化型ネフローゼ症候群の治療はステロイド薬を1mg/kg/dayで開始し、4週間投与後に効果が認められれば徐々にステロイド薬を漸減する。,TRUE,そのとおり。微小変化型ネフローゼ症候群は大量のタンパク尿と浮腫が起こり、小児に多い疾患である。[13-8]
慢性腎臓病のeGFRに基づく病期分類G4期での高血圧治療においてサイアザイド系利尿薬が第一選択薬である。,FALSE,G4の第一選択薬はACE阻害薬やARBである。eGFRが下がると遠位尿細管までNaがあまり届かないため、遠位尿細管が作用部位であるサイアザイド系は使えない。[13-34]
女性の腎盂腎炎は患側の腰痛、肋骨脊椎骨(CVA)叩打痛、悪寒を伴う発熱がある。,TRUE,そのとおり。腎盂腎炎は女性に多い。[14-35]
カルシウム結石の再発予防のために、結石を形成する物質を過剰に排泄する清涼飲料水やコーヒーを避け、2000mL以上飲水することが推奨される。,TRUE,そのとおり。[14-41]
糖尿病性腎症のeGFRが28mL/min/1.73m²でタンパク尿1.5g/gCrである時、第3期の病期に分類される。,FALSE,GFRが30(mL/min/1.73m²)未満は第4期である。第4期は尿アルブミン値や尿蛋白値は問わない。[14-13]
糖尿病性腎臓病(DKD)は典型的な糖尿病性腎症と顕性アルブミン尿を伴わずにGFRが低下する非典型的な糖尿病関連腎疾患を含む概念である。,TRUE,そのとおり。
肺扁平上皮がんは腫瘍が産生するサイトカインにより局所的に骨破壊が引き起こされ、高カルシウム血症を引き起こす。,FALSE,扁平上皮癌、腺癌、肝細胞癌などによる高カルシウム血症の原因物質はサイトカインではなくPTHrP(PTH-related protein)である。サイトカインが原因なのは多発性骨髄腫や乳癌である。[3-8]
原発性副甲状腺機能亢進症が持続すると、胃潰瘍、膵炎、腎結石が引き起こされる。,TRUE,そのとおり。[3-5]
ビスホスホネート製剤使用中に抜歯するときは、顎骨壊死や顎骨骨髄炎の発症を防ぐため、カルシウム製剤を追加する。,FALSE,BP製剤はカルシウム製剤と併用するとキレートを形成し吸収が低下するため併用注意。ちなみに経口BP製剤で低リスクの人は抜歯時休薬は必要ないと最近なったらしい。
1型副甲状腺受容体作動薬のテリパラチドは破骨細胞による骨吸収を強力に抑制するため、骨折の可能性が高い骨粗鬆症に用いる。,FALSE,テリパラチドは骨吸収の抑制というより骨形成を促進する。破骨細胞の骨吸収を抑制するのはアレンドロン酸などのビスホスホネート製剤である。[3-30]
子宮内膜症の治療にはエストロゲンの作用を抑制するため、エストロゲン受容体遮断薬であるクロミフェンを用いる。,FALSE,クロミフェンは卵胞ホルモンの負のフィードバックを除くため排卵誘発療法に用いられる。子宮内膜症にはプロゲステロン受容体選択的アゴニストであるジエノゲストなどが使われる。[7-26]
排卵直前に、エストロゲンの視床下部・下垂体へのポジティブフィードバックにより黄体化ホルモンが大量に放出され、排卵が起こる。,TRUE,そのとおり。女性のホルモン分泌調節においてポジティブフィードバックが起こるのはこれだけ。[7-10]
妊娠高血圧症にはメチルドパやヒドララジンを用い、アンギオテンシン受容体拮抗薬やアンギオテンシン変換酵素阻害剤は使用禁忌である。,TRUE,そのとおり。ACE阻害薬やARBは催奇形性や胎児毒性があるため妊婦は禁忌。[7-51]
パーキンソン病はリン酸化タウタンパク質の細胞内蓄積が特徴の神経変性疾患で、認知症を伴う場合、レボドパではなくドパミン受容体刺激薬を用いる。,FALSE,リン酸化タウタンパク質の蓄積が特徴なのはアルツハイマー型認知症である。パーキンソン病はシヌクレイン蓄積による細胞傷害を基盤とし、レビー正体が多発する。[5-9]
抗パーキンソン病治療薬の長期使用によるwearing-offの対策に、末梢COMT阻害薬やドパミン受容体刺激薬を用いる。,TRUE,wearing-off現象への対応には、レボドパの投与回数増加、作用時間の長いドパミンアゴニストの追加、COMT阻害薬(エンタカポン)などの併用がある。[5-18]
